campaign	status	successful	total	fidelity_distribution	elapsed_seconds	evidence_manifest	notes
0.c0010	PASS	9	9	"{""adapted"": 3, ""inspired"": 6}"	96.8	<local-workspace>/autosut/autosut/release/evidence/0.c0010_20260531_221717/manifest.json	
0.c0011	PASS	11	11	"{""adapted"": 2, ""inspired"": 9}"	51.9	<local-workspace>/autosut/autosut/release/evidence/0.c0011_20260531_221853/manifest.json	
0.c0012	PASS	3	3	"{""inspired"": 3}"	47.9	<local-workspace>/autosut/autosut/release/evidence/0.c0012_20260531_221945/manifest.json	
0.c0013	PASS	4	4	"{""adapted"": 1, ""inspired"": 3}"	136.0	<local-workspace>/autosut/autosut/release/evidence/0.c0013_20260531_222033/manifest.json	
0.c0015	PASS	5	5	"{""inspired"": 5}"	55.3	<local-workspace>/autosut/autosut/release/evidence/0.c0015_20260531_222249/manifest.json	
0.c0017	PASS	6	6	"{""inspired"": 6}"	50.7	<local-workspace>/autosut/autosut/release/evidence/0.c0017_20260531_222344/manifest.json	
0.c0026	PASS	6	6	"{""adapted"": 3, ""inspired"": 3}"	45.8	<local-workspace>/autosut/autosut/release/evidence/0.c0026_20260531_222435/manifest.json	
0.apt41_dust	PASS	23	23	"{""adapted"": 10, ""inspired"": 13}"	183.7	<local-workspace>/autosut/autosut/release/evidence/0.apt41_dust_20260531_222521/manifest.json	
0.apt41_dust_full	PASS	10	10	"{""inspired"": 10}"	68.8	<local-workspace>/autosut/autosut/release/evidence/0.apt41_dust_full_20260531_222825/manifest.json	
0.costaricto	PASS	10	10	"{""adapted"": 3, ""inspired"": 7}"	104.9	<local-workspace>/autosut/autosut/release/evidence/0.costaricto_20260531_222933/manifest.json	
0.outer_space	PASS	8	8	"{""adapted"": 1, ""inspired"": 7}"	101.0	<local-workspace>/autosut/autosut/release/evidence/0.outer_space_20260531_223118/manifest.json	
0.operation_midnighteclipse	PASS	17	17	"{""adapted"": 5, ""inspired"": 12}"	48.1	<local-workspace>/autosut/autosut/release/evidence/0.operation_midnighteclipse_20260531_223259/manifest.json	
0.salesforce_data_exfiltration	PASS	18	18	"{""adapted"": 8, ""inspired"": 10}"	46.7	<local-workspace>/autosut/autosut/release/evidence/0.salesforce_data_exfiltration_20260531_223347/manifest.json	
0.caldera_linux_demo	PASS	6	6	"{""adapted"": 6}"	330.9	<local-workspace>/autosut/autosut/release/evidence/0.caldera_linux_demo_20260531_223434/manifest.json	
0.fin6_emulation	PASS	12	12	"{""adapted"": 3, ""inspired"": 9}"	286.0	<local-workspace>/autosut/autosut/release/evidence/0.fin6_emulation_20260531_224005/manifest.json	
0.dmz_segmentation_demo	PASS	4	4	"{""adapted"": 4}"	54.0	<local-workspace>/autosut/autosut/release/evidence/0.dmz_segmentation_demo_20260531_224451/manifest.json	
0.pivot_demo	PASS	6	6	"{""adapted"": 6}"	86.0	<local-workspace>/autosut/autosut/release/evidence/0.pivot_demo_20260531_224545/manifest.json	
0.cve_2021_41773	PASS	4	4	"{""adapted"": 4}"	34.1	<local-workspace>/autosut/autosut/release/evidence/0.cve_2021_41773_20260531_224711/manifest.json	
0.shadowray	PASS	3	3	"{""adapted"": 3}"	333.4	<local-workspace>/autosut/autosut/release/evidence/0.shadowray_20260531_224745/manifest.json	
